YEAR,MO,DY,HR,ALLSKY_SFC_UVB,ALLSKY_SFC_LW_DWN,PRECTOTCORR,PS
2025,1,14,23,0.0,373.48,0.27,84.7
2025,1,15,0,0.0,364.2,0.32,84.63
2025,1,15,1,0.0,349.5,0.33,84.56
2025,1,15,2,0.0,357.85,0.41,84.51
2025,1,15,3,0.0,356.35,0.51,84.5
2025,1,15,4,0.0,361.58,0.69,84.54
2025,1,15,5,0.0,366.88,0.91,84.61
2025,1,15,6,0.01,359.42,0.96,84.69
2025,1,15,7,0.12,340.83,0.0,84.78
2025,1,15,8,0.5,360.08,0.0,84.83
2025,1,15,9,1.1,364.88,0.0,84.83
2025,1,15,10,1.65,372.02,0.0,84.8
2025,1,15,11,2.04,381.35,0.0,84.73
2025,1,15,12,1.99,393.88,0.0,84.62
2025,1,15,13,1.7,374.23,0.0,84.51
2025,1,15,14,1.15,382.83,0.0,84.43
2025,1,15,15,0.59,378.3,0.0,84.42
2025,1,15,16,0.17,377.62,0.0,84.46
2025,1,15,17,0.01,371.77,0.0,84.53
2025,1,15,18,0.0,366.23,0.0,84.62
2025,1,15,19,0.0,351.27,0.0,84.72
2025,1,15,20,0.0,358.15,0.0,84.79
2025,1,15,21,0.0,352.35,0.0,84.81
2025,1,15,22,0.0,353.0,0.0,84.8
2025,1,15,23,0.0,356.4,0.0,84.77
2025,1,16,0,0.0,357.4,0.0,84.72
2025,1,16,1,0.0,339.35,0.0,84.65
2025,1,16,2,0.0,343.38,0.0,84.6
2025,1,16,3,0.0,340.77,0.0,84.59
2025,1,16,4,0.0,337.0,0.0,84.62
2025,1,16,5,0.0,338.73,0.0,84.67
2025,1,16,6,0.01,338.42,0.0,84.72
2025,1,16,7,0.11,328.08,1.48,84.79
2025,1,16,8,0.45,355.52,1.2,84.85
2025,1,16,9,1.0,367.4,0.98,84.86
2025,1,16,10,1.54,380.27,0.79,84.82
2025,1,16,11,2.0,395.15,0.6,84.75
2025,1,16,12,1.96,397.4,0.43,84.67
2025,1,16,13,1.54,380.3,0.29,84.57
2025,1,16,14,1.12,395.6,0.21,84.5
2025,1,16,15,0.58,397.95,0.19,84.48
2025,1,16,16,0.17,399.08,0.31,84.51
2025,1,16,17,0.01,395.4,0.47,84.57
2025,1,16,18,0.0,392.42,0.48,84.65
2025,1,16,19,0.0,374.12,0.47,84.72
2025,1,16,20,0.0,381.65,0.5,84.77
2025,1,16,21,0.0,371.12,0.59,84.77
2025,1,16,22,0.0,361.7,0.71,84.75
2025,1,16,23,0.0,358.38,0.85,84.73
2025,1,17,0,0.0,360.98,0.82,84.71
2025,1,17,1,0.0,350.62,0.6,84.67
2025,1,17,2,0.0,359.17,0.54,84.64
2025,1,17,3,0.0,353.45,0.39,84.65
2025,1,17,4,0.0,352.73,0.29,84.7
2025,1,17,5,0.0,352.5,0.24,84.76
2025,1,17,6,0.01,350.95,0.24,84.82
2025,1,17,7,0.12,341.42,0.0,84.89
2025,1,17,8,0.51,362.2,0.0,84.92
2025,1,17,9,1.12,369.42,0.0,84.91
2025,1,17,10,1.67,381.75,0.0,84.86
2025,1,17,11,2.12,394.0,0.0,84.8
2025,1,17,12,2.1,399.92,0.0,84.71
2025,1,17,13,1.8,371.58,0.0,84.63
2025,1,17,14,1.19,394.7,0.0,84.57
2025,1,17,15,0.59,392.2,0.0,84.54
2025,1,17,16,0.17,387.33,0.01,84.56
2025,1,17,17,0.01,380.15,0.01,84.6
2025,1,17,18,0.0,371.8,0.01,84.65
2025,1,17,19,0.0,356.52,0.01,84.71
2025,1,17,20,0.0,368.5,0.01,84.76
2025,1,17,21,0.0,363.52,0.01,84.79
2025,1,17,22,0.0,359.73,0.01,84.79
2025,1,17,23,0.0,356.27,0.01,84.78
2025,1,18,0,0.0,355.42,0.01,84.73
2025,1,18,1,0.0,340.12,0.01,84.68
2025,1,18,2,0.0,351.42,0.01,84.64
2025,1,18,3,0.0,348.6,0.01,84.64
2025,1,18,4,0.0,348.52,0.01,84.67
2025,1,18,5,0.0,345.73,0.0,84.73
2025,1,18,6,0.01,341.12,0.0,84.79
2025,1,18,7,0.12,325.67,0.01,84.86
2025,1,18,8,0.54,337.9,0.0,84.89
2025,1,18,9,1.19,341.73,0.01,84.87
2025,1,18,10,1.76,362.85,0.0,84.81
2025,1,18,11,2.14,372.38,0.0,84.73
2025,1,18,12,2.16,370.15,0.0,84.64
2025,1,18,13,1.85,360.1,0.0,84.56
2025,1,18,14,1.3,375.83,0.0,84.51
2025,1,18,15,0.67,373.52,0.01,84.51
2025,1,18,16,0.19,374.55,0.01,84.55
2025,1,18,17,0.01,371.08,0.01,84.61
2025,1,18,18,0.0,366.75,0.01,84.67
2025,1,18,19,0.0,357.5,0.02,84.73
2025,1,18,20,0.0,368.98,0.02,84.79
2025,1,18,21,0.0,363.7,0.02,84.82
2025,1,18,22,0.0,366.25,0.02,84.82
2025,1,18,23,0.0,365.15,0.01,84.8
2025,1,19,0,0.0,369.17,0.01,84.75
2025,1,19,1,0.0,355.05,0.01,84.7
2025,1,19,2,0.0,377.45,0.01,84.66
2025,1,19,3,0.0,364.48,0.01,84.65
2025,1,19,4,0.0,360.15,0.01,84.68
2025,1,19,5,0.0,353.12,0.01,84.72
2025,1,19,6,0.01,351.0,0.01,84.78
2025,1,19,7,0.11,335.15,0.0,84.84
2025,1,19,8,0.49,351.35,0.0,84.88
2025,1,19,9,1.13,350.38,0.0,84.85
2025,1,19,10,1.72,360.3,0.0,84.8
2025,1,19,11,2.1,369.02,0.0,84.72
2025,1,19,12,1.94,373.85,0.0,84.62
2025,1,19,13,1.76,371.8,0.0,84.52
2025,1,19,14,1.25,378.38,0.0,84.44
2025,1,19,15,0.66,371.98,0.0,84.42
2025,1,19,16,0.19,377.88,0.0,84.44
2025,1,19,17,0.01,382.12,0.0,84.5
2025,1,19,18,0.0,380.85,0.0,84.59
2025,1,19,19,0.0,363.4,0.0,84.69
2025,1,19,20,0.0,367.6,0.0,84.77
2025,1,19,21,0.0,366.62,0.0,84.79
2025,1,19,22,0.0,364.55,0.01,84.78
2025,1,19,23,0.0,360.12,0.0,84.75
2025,1,20,0,0.0,356.98,0.0,84.7
2025,1,20,1,0.0,334.6,0.0,84.64
2025,1,20,2,0.0,346.05,0.0,84.6
2025,1,20,3,0.0,341.67,0.0,84.59
2025,1,20,4,0.0,334.55,0.0,84.62
2025,1,20,5,0.0,328.73,0.0,84.67
2025,1,20,6,0.01,327.73,0.0,84.72
2025,1,20,7,0.12,319.42,0.0,84.78
2025,1,20,8,0.51,341.45,0.0,84.81
2025,1,20,9,1.11,352.75,0.0,84.79
2025,1,20,10,1.65,370.48,0.0,84.75
2025,1,20,11,1.99,386.25,0.0,84.69
2025,1,20,12,2.02,389.5,0.0,84.6
2025,1,20,13,1.65,371.05,0.0,84.51
2025,1,20,14,1.26,384.5,0.0,84.43
2025,1,20,15,0.64,380.35,0.0,84.39
2025,1,20,16,0.2,382.42,0.0,84.39
2025,1,20,17,0.01,375.65,0.0,84.43
2025,1,20,18,0.0,366.8,0.0,84.5
2025,1,20,19,0.0,361.88,0.0,84.58
2025,1,20,20,0.0,376.92,0.0,84.66
2025,1,20,21,0.0,375.02,0.0,84.7
2025,1,20,22,0.0,370.62,0.0,84.71
2025,1,20,23,0.0,368.12,0.0,84.68
2025,1,21,0,0.0,367.9,0.0,84.64
2025,1,21,1,0.0,360.42,0.0,84.58
2025,1,21,2,0.0,379.5,0.0,84.53
2025,1,21,3,0.0,372.58,0.0,84.53
2025,1,21,4,0.0,364.05,0.0,84.55
